Audit Reference Number,VAR-20241007-TW-05A01-1
,
D.M.4) PERFORMANCE REVIEW AND CONTINUOUS IMPROVEMENT,
Question #,VAP-D.M.4.1
Question Text,An adequate and effective ethics management performance review and continuous improvement process is established.
Rating,Conformance
Conclusion,An adequate and effective ethics management performance review and continuous improvement process is established.
Data points,"* Record review: RBA Code of Conduct Management Procedure (Document No.: B0000-4200, Rev. L, issued date: 28 June
2024) a) Is adequate. b) Is effective. c) Defines the annual review process: c.a) By senior management. c.b) Of the management
system. c.c) Of the performance. d) Mandates additional action plans if indicator, objective or target is off track.
* Record review: Working Rule (Document No.: B9910-1301, Rev. F, issued date: 18 March 2021) a) Is adequate. b) Is
effective. c) Defines the annual review process: c.a) By senior management: c.b) Of the management system. c.c) Of the
performance. d) Mandates additional action plans if indicator, objective or target is off track.
* Record review: 4 out of 4 ethics performance action plans covering the period October 2023 to September 2024 exist for each
indicator, objective or target that is off-track.
* Record review: Ethics performance target tracking form (Doc. No: Nil, Rev. Nil, Issue date: 3 January 2024) demonstrates each
indicator, objective and target has progress reported regularly.
* Record review: 4 out of 4 ethics monitoring reports covering the period October 2023 to September 2024 demonstrate reports:
a) Are current. b) Are adequate. c) Are updated on a regular basis. c.a) Include upholding the highest standards of integrity in all
business interactions. c.b) Include obtaining undue or improper advantage being promised, offered, authorized, given or accepted.
c.c) Include Intellectual Property protection. c.d) Include fair business, advertising and competition. c.e) Include non-retaliation
or protection of identity. c.f) Include unauthorized disclosure of personal information.
* Record review: 4 out of 4 ethics system evaluation reports covering the period October 2023 to September 2024 confirm
regular control effectiveness evaluations are done for: a) Control effectiveness. b) Training. c) Every program. d)
Communication. e) Grievances. f) Ethics concerns.
* Record review: 2 out of 2 System review meeting minutes covering the period October 2023 to September 2024 confirm a)
Management reviews the system regularly and include b) Meeting presentation materials/analysis/data. c) Formal target,
indicator, and objective tracking. d) Regular progress reporting. e) Evaluation reports for (at least). e.a) Control effectiveness.
e.b) Training. e.c) Communication. e.d) Grievances.
* Management interview: Ms. Ching-Wen PAN / HR Department Senior Professional Manager and Ms. Grace LO / TQC
Department Senior Technology Manager confirm the audit observations.
* Supporting evidence reference(s): N/A"
,
Question #,VAP-D.M.4.2
Question Text,"An adequate and effective ethics self-audit process is established to assess conformance with the RBA Code and customer
requirements periodically."
Rating,Conformance
Conclusion,"An adequate and effective ethics self-audit process is established to assess conformance with the RBA Code and customer
requirements periodically."
Data points,"* Record review: Internal Control and Audit Standard (Document No.: B9920-0101, Rev. H, issued date: 01 August 2017) a) Is
adequate. b) Is effective. c) Mandates periodically assess conformance with: c.a) Applicable regulatory requirements. c.b) RBA
Code requirements. c.c) Own policies, standards and management system. c.d) Other requirements to which the facility
subscribes. d) States audit findings are reviewed by senior management.
* Record review: 2 out of 2 ethics self-audits reports covering the period October 2023 to September 2024 demonstrate: a) Self-
audits are performed regularly. b) Audit findings are reviewed by senior management. c) Non-conformance on ethics is identified
in this audit.
* Management interview: Ms. Ching-Wen PAN / HR Department Senior Professional Manager and Ms. Grace LO / TQC
Department Senior Technology Manager confirm the audit observations.
* Supporting evidence reference(s): N/A"
,
Question #,VAP-D.M.4.3
Question Text,An adequate and effective ethics corrective action process is established to rectify and close non-conformances.
Rating,Conformance
Conclusion,An adequate and effective ethics corrective action process is established to rectify and close non-conformances.
Data points,"* Record review: Internal Control and Audit Standard (Document No.: B9920-0101, Rev. H, issued date: 01 August 2017) a) Is
adequate. b) Is effective. c) Defines the corrective action plans and tracking tables. d) Mandates additional actions are taken when
a corrective action is off-track. e) Requires a demonstrated link between the CAP and the performance management objectives
and targets. f) States all actions must be verifiably closed. g) Requires closure of action items is confirmed by a management
representative after verification by the appropriate person. h) Mandates if any non-conformance is confirmed, a recorded
corrective action is implemented.
* Record review: 2 out of 2 ethics self-audits reports covering the period October 2023 to September 2024 demonstrate all non-
conformances are identified.
* Record review: No ethics government inspection report as there is no government inspection.
* Record review: 2 out of 2 ethics corrective action plans covering the period October 2023 to September 2024 demonstrate: a)
self-audit findings have a corrective action plan for each finding. b) no government inspection is conducted. c) no ethics
government inspection reports as there is no government inspections. d) Off-track indicators, objectives and targets have a
corrective action plan. e) management system review findings have a corrective action plan. f) Closure verification with mgmt.
confirmation exist for each corrective action plan item.
* Management interview: Ms. Ching-Wen PAN / HR Department Senior Professional Manager and Ms. Grace LO / TQC
Department Senior Technology Manager confirm the audit observations.
* Supporting evidence reference(s): N/A"
,
E) SUPPLY CHAIN MANAGEMENT,
E1) COMPANY COMMITMENT,
Question #,VAP-E1.1
Question Text,"An adequate and effective Code of Conduct is established and endorsed by executive management covering all elements of the
RBA code."
Rating,Conformance
Conclusion,"An adequate and effective Code of Conduct is established and endorsed by executive management covering all elements of the
RBA code."
Data points,"* Site observation: a) Code of Conduct is in a language understood by each worker. b) Code of Conduct is accessible to all
workers. c) Code of Conduct is publicly available.
* Record review: Responsible Business Alliance Code of Conduct Management Procedure (Doc. No.: B0000-4200, Rev. L,
issued date: 28 June 2024) a) Covering all elements of the RBA code. b) Endorsed by the highest-level manager at the company.
c) Includes a stated commitment to c.a) Due diligence c.b) Access to remedy for c.b.a) Internal stakeholders c.b.b) External
stakeholders c.b.d) where the participant c.b.d.a) caused or contributed to c.b.d.b) adverse human rights and environmental
impacts. c.c) Continuous improvement d) Appropriate for the nature and scope of the facility's operations.
* Management interview: Ms. Grace LO / Senior Technology Manager confirms the audit observations.
* Worker interview: 20 out of 20 workers confirm the audit observations.
* Supporting evidence reference(s): N/A"
,
E2) MATERIALS RESTRICTIONS,
Question #,VAP-E2.1
Question Text,"An adequate and effective program is in place for Materials Restrictions as a formal part of the procurement and manufacturing
processes."
Rating,Conformance
Conclusion,"Adequate and effective program is in place for materials restrictions as a formal part of the procurement and manufacturing
processes."
Data points,"* Record review: Hazardous Substance Free Policy (Doc. No: Nil, Rev. Nil, Issue date: Nil) a) Is adequate. b) Is effective. c)
Requires chemical composition of materials. d) Requires chemical composition of packaging. e) Requires chemical composition
of components. f) Requires chemical composition of products. g) Requires conformance with customer requirements. h) Requires
conformance with legal requirements.
* Record review: Hazardous Substances Management Procedure (Doc. No: B0000-4100, Rev. B, Issue date: 28 November 2022)
a) Is adequate. b) Is effective. c) Requires chemical composition of materials. d) Requires chemical composition of packaging. e)
Requires chemical composition of components. f) Requires chemical composition of products. g) Requires conformance with
customer requirements. h) Requires conformance with legal requirements. i) Comparing customer requirements to own
specifications. It confirms a senior representative is assigned responsibility a) To ensure compliance with laws and regulations. b)
Is authorized to implement. b.a) programs. b.b) process actions. b.c) corrective actions as needed.
* Record review: 10 out of 10 corporate proofs of implementation covering the period October 2022 to September 2024
demonstrate a) Assessment of the process to verify conformance. b) Analytical data from material/parts Suppliers. c) Statements
and certificates of conformance. d) Chemical composition of the products.
* Record review: Hazardous Substances Control Operation Management Specifications (Doc. No: B4000-0130, Rev. N, Issue
date: 31 May 2024) a) Is adequate. b) Is effective. c) Includes chemical composition of materials. d) Includes chemical
composition of packaging. e) Includes chemical composition of components. f) Includes chemical composition of products. g)
Are conform with customer requirements. h) Are conform with legal requirements. i) Compares customer requirements to own
specifications.
* Record review: 10 out of 10 material restriction action plans covering the period October 2022 to September 2024 a) Restricted
material restrictions on-track. b) An action plan for each indicator, objective or target which is off-track.
* Record review: 10 out of 10 analytical data reports covering the period October 2022 to September 2024 are a) Available. b)
Adequate. c) Current. d) Conform with material restriction requirements.
* Record review: 10 out of 10 product chemical compositions covering the period October 2022 to September 2024 are a)
Available. b) Adequate. c) Current. d) Conform with material restriction requirements.
* Record review: 10 out of 10 certificates of conformance covering the period October 2022 to September 2024 are a) Available.
b) Adequate. c) Current. d) Conform with material restriction requirements.
* Record review: 10 out of 10 specifications from suppliers covering the period October 2022 to September 2024 are a)
Available. b) Adequate. c) Current. d) Conform with material restriction requirements.
* Record review: 10 out of 10 monitoring & reporting records covering the period October 2022 to September 2024 are a)
Available. b) Adequate. c) Current. d) Conform with material restriction requirements.
* Management interview: Ms. Grace LO / Senior Technology Manager confirms the audit observations.
* Supporting evidence reference(s): N/A"
,
E3) RESPONSIBLE SOURCING OF MINERALS,
Question #,VAP-E3.1
Question Text,"An adequate and effective Conflict Minerals Supply Chain Policy and Management System is designed and implemented to
reasonably assure that the tantalum, tin, tungsten, gold, and Cobalt (3TG+C) in the products they manufacture are sourced in a
way consistent with the OECD Guidance for Responsible Supply Chains of Minerals from Conflict-Affected and High-Risk
Areas (OECD Due Diligence Guidance) or an equivalent and recognized due diligence framework."
Rating,Conformance
Conclusion,"An adequate and effective Conflict Minerals Supply Chain Policy and Management System is designed and implemented to
reasonably assure that the tantalum, tin, tungsten, gold, and Cobalt (3TG+C) in the products they manufacture are sourced in a
way consistent with the OECD Guidance for Responsible Supply Chains of Minerals from Conflict-Affected and High-Risk
Areas (OECD Due Diligence Guidance) or an equivalent and recognized due diligence framework."
Data points,"* Record review: RBA Code of Conduct Management Procedure (Document No.: B0000-4200, Rev. L, Issued date: 28 June
2024) is: a) Adequate. b) Effective. c) Covering all 3TG+C included in the company’s products. d) Designed to reasonably assure
the 3TG+C in the products they manufacture are sourced in a way consistent with the OECD Due Diligence Guidance or an
equivalent. e) Implemented through a recognized due diligence framework. f) Communicated to suppliers. g) Communicated to
the public. h) Company commitment to exercise due diligence on the source of minerals in accordance with the OECD Due
Diligence Guidance. i) Company commitment to exercise due diligence on the chain of custody of minerals in accordance with
the OECD Due Diligence Guidance. It confirms a senior representative is assigned responsibility: a) To ensure compliance with
laws and regulations. b) Is authorized to implement: b.a) Programs. b.b) Process actions. b.c) Corrective actions as needed.
* Record review: Conflict Minerals Management Rule (Doc. No.: B4000-0142, Rev. B, issued date: 03 August 2022) is: a)
Adequate. b) Effective. c) Covering all 3TG+C included in the company’s products. d) Designed to reasonably assure the 3TG+C
in the products they manufacture are sourced in a way consistent with the OECD Due Diligence Guidance or an equivalent. e)
implemented through a recognized due diligence framework. e.a) Including due diligence on the source of minerals in accordance
with the OECD Due Diligence Guidance. e.b) Including due diligence on the chain of custody of minerals in accordance with the
OECD Due Diligence Guidance. It is a) Adequate. b) Effective. c) Covering all 3TG+C included in the company’s products. d)
Designed to reasonably assure the 3TG+C in the products they manufacture are sourced in a way consistent with the OECD Due
Diligence Guidance or an equivalent. e) Implemented through a recognized due diligence framework. e.a) Including due
diligence on the source of minerals in accordance with the OECD Due Diligence Guidance. e.b) Including due diligence on the
chain of custody of minerals in accordance with the OECD Due Diligence Guidance. f) assigning a senior management person
responsible for implementation of the Management System. g) Including 3TG due diligence sourcing requirements in written
agreements with suppliers. h) Mitigating any risks identified including the suspension or termination of business relationships
with suppliers when risk mitigation is unsuccessful. i) Reviewing the Management System, on an annual basis to ensure
conformance and improvement.
* Record review: 10 out of 10 corporate proofs of implementation covering the period October 2022 to September 2024
demonstrate: a) 3TG+C due diligence. b) Annual review of the due diligence process effectiveness. c) Mitigation plans with
suppliers.
* Record review: 10 out of 10 conflict mineral due diligence reports covering the period October 2022 to September 2024
demonstrate a) reports are maintained for a minimum of two years. b) cover all products containing 3TG+C. c) cover all sources
and chains of custody.
* Record review: 2 out of 2 mitigation reports covering the period October 2022 to September 2024 demonstrate a) Reports are
current. b) Reports are adequate. c) Include all issues found in 3TG+C due diligence reports.
* Record review: 10 out of 10 conflict mineral system evaluation reports covering the period October 2022 to September 2024
confirms regular control effectiveness evaluations are a) annual system evaluations. b) Include system effectiveness.
* Record review: 2 out of 2 conflict mineral action plans covering the period October 2022 to September 2024 demonstrate a)
System evaluation findings have a corrective action plan for each finding. b) An action plans for each indicator, objective or
target which is off-track.
* Management interview: Ms. Pi-Ling LI / Senior Engineer of TQC Department and Ms. Grace LO / Technology Manager of
TQC Department confirm the audit observations.
* Worker interview: 2 out of 2 procurement staff confirm the audit observations.
* Supporting evidence reference(s): N/A"
,
E4) SUPPLIER RESPONSIBILITY,
Question #,VAP-E4.1
Question Text,The RBA Code requirements have been communicated to the next tier suppliers.
Rating,Conformance
Conclusion,The RBA Code requirements have been communicated to the next tier suppliers.
Data points,"* Record review: RBA Code of Conduct Management Procedure (Document No.: B0000-4200, Rev. L, issued date: 28 June
2024) a) Is adequate. b) Is effective. c) Requires contracts for all next-tier suppliers. c.a) With the enforcement of the
implementation of the RBA Code provisions. c.b) Labor agents and recruitment agents comply with legal requirements in both
home and sending country. d) Requires contract enforcement notification are issued to the next-tier supplier if a contract
violation, including a violating of the RBA code provisions become known. It confirms a senior representative is assigned
responsibility: a) To ensure compliance with laws and regulations. b) Is authorized to implement: b.a) programs. b.b) process
actions. b.c) corrective actions as needed.
* Record review: Winbond Vendor Survey Procedure (Doc. No.: 3560-0900, Rev. 19, issued date: 21 August 2023) a) Is
adequate. b) Is effective. c) Requires contracts for all next-tier suppliers. c.a) With the enforcement of the implementation of the
RBA Code provisions. c.b) Labor agents and recruitment agents comply with legal requirements in both home and sending
country. d) Requires contract enforcement notification are issued to the next-tier supplier if a contract violation, including a
violating of the RBA code provisions become known.
* Record review: 10 out of 10 corporate proofs of implementation covering the period October 2023 to September 2024
demonstrate a) Contracts for all next tier suppliers shows enforcement of the implementation of the RBA Code provisions. b)
Labor agents and recruitment agents contracts show compliance requirements with legal requirements in both home and sending
country. c) Contract enforcement notification to the next tier supplier for a contract violation including a violating of the RBA
code provision.
* Record review: No labor agents and contractors are used in the facility.
* Record review: 10 out of 10 communications to supplier management covering the period October 2023 to September 2024
demonstrate: a) Are in place for all next-tier suppliers. b) Enforcement of the implementation of the RBA Code provisions. c)
Contract enforcement notification are issued to the next tier supplier if a contract violation including a violating of the RBA code
provisions become known.
* Record review: 10 out of 10 contract enforcement notifications covering the period October 2023 to September 2024 a) are
issued to the next tier supplier if a contract violation including a violation of the RBA code provisions becomes known.
* Management interview: Ms. Pi-Ling LI / Senior Engineer of TQC Department and Ms. Grace LO / Technology Manager of
TQC Department confirm the audit observations.
* Worker interview: 2 out of 2 procurement staff confirm the audit observations.
* Supporting evidence reference(s): N/A"
,
Question #,VAP-E4.2
Question Text,Next tier major suppliers have been identified.
Rating,Conformance
Conclusion,Next tier major suppliers have been identified.
Data points,"* Record review: RBA Code of Conduct Management Procedure (Document No.: B0000-4200, Rev. L, issued date: 28 June
2024) a) Is adequate. b) Is effective. c) Includes supplier identification process. d) Defines Major supplier. e) Identifies next tier
major suppliers. f) Defines all on-site service providers are major next tier suppliers. g) Defines all labor agents and recruitment
agents are major next tier suppliers. It confirms a senior representative is assigned responsibility: a) To ensure compliance with
laws and regulations. b) Is authorized to implement: b.a) Programs. b.b) Process actions. b.c) Corrective actions as needed.
* Record review: Winbond Vendor Survey Procedure (Doc. No.: 3560-0900, Rev. 19, issued date: 21 August 2023) a) Is
adequate. b) Is effective. c) Includes supplier identification process. d) Defines Major supplier. e) Identifies next tier major
suppliers. f) Defines all on-site service providers are major next tier suppliers. g) Defines all labor agents and recruitment agents
are major next tier suppliers. h) States the communication process with its next tier major suppliers on the RBA code, its
requirements and additional contract requirements.
* Record review: 10 out of 10 corporate proofs of implementation covering the period October 2023 to September 2024 a) List of
next-tier major suppliers. b) Definition of major supplier. c) Communication materials to major next-tier suppliers on the RBA
code, its requirements and additional contract requirements.
* Record review: Major next tier supplier list (Doc. No: Nil, Rev. Nil, Issue date: 03 January 2024) a) Includes all next tier major
suppliers. b) Is current. c) Is accurate. d) Includes all on-site service providers are major next-tier suppliers.
* Record review: 10 out of 10 communications to supplier management covering the period October 2023 to September 2024
demonstrate: a) Are in place for all next-tier suppliers. b) Enforcement of the implementation of the RBA Code provisions. c)
Contract enforcement notification are issued to the next tier supplier if a contract violation including a violating of the RBA code
provisions become known.
* Record review: 10 out of 10 contract enforcement notifications covering the period October 2023 to September 2024 a) are
issued to the next tier supplier if a contract violation including a violation of the RBA code provisions becomes known.
* Management interview: Ms. Pi-Ling LI / Senior Engineer of TQC Department and Ms. Grace LO / Technology Manager of
TQC Department confirm the audit observations.
* Worker interview: 2 out of 2 procurement staff and HR staff confirm the audit observations.
* Supporting evidence reference(s): N/A"
,
Question #,VAP-E4.3
Question Text,An adequate and effective process is established to ensure that the next-tier major suppliers implement the RBA Code.
Rating,Conformance
Conclusion,An adequate and effective process is established to ensure that the next-tier major suppliers implement the RBA Code.
Data points,"* Record review: RBA Code of Conduct Management Procedure (Document No.: B0000-4200, Rev. L, issued date: 28 June
2024) a) Is adequate. b) Is effective. c) Defines the RBA code implementation verification process for all next tier major
suppliers. d) Includes a self-reported risk assessment that is validated to verify risk information. e) an audit. f) Includes on-site
service providers with assigned workers to the site. g) If there is any allegation or indication of nonconformance with an excluded
next tier supplier then an audit is performed. It confirms a senior representative is assigned responsibility: a) To ensure
compliance with laws and regulations. b) Is authorized to implement: b.a) programs. b.b) process actions. b.c) corrective actions
as needed.
* Record review: 10 out of 10 corporate proofs of implementation covering the period October 2023 to September 2024
demonstrate a) Audits of next tier major supplier. b) Audits of on-site service provider.
* Management interview: Ms. Pi-Ling LI / Senior Engineer of TQC Department and Ms. Grace LO / Technology Manager of
TQC Department confirm the audit observations.
* Worker interview: 9 out of 9 workers of on-site service providers confirm the audit observations.
* Supporting evidence reference(s): N/A"
,
Question #,VAP-E4.4
Question Text,"An adequate and effective process is established to ensure suppliers' RBA Code implementation performance and continuous
improvement."
Rating,Conformance
Conclusion,"An adequate and effective process is established to ensure suppliers' RBA Code implementation performance and continuous
improvement."
Data points,"* Record review: RBA Code of Conduct Management Procedure (Document No.: B0000-4200, Rev. L, issued date: 28 June
2024) a) Is adequate. b) Is effective. c) Obliges the CAP process with the Supplier If non-conformances are detected. d) States a
commitment to not immediately de-source at a priority non-conformance discovery state but only at the non-implementation of
the CAP process. e) Increases Supplier RBA code implementation performance by closing all Priority and Major findings. f)
Includes a verification mechanism that corrective actions are implemented. It confirms a senior representative is assigned
responsibility: a) To ensure compliance with laws and regulations. b) Is authorized to implement: b.a) programs. b.b) process
actions. b.c) corrective actions as needed.
* Record review: 10 out of 10 corporate proofs of implementation covering the period October 2023 to September 2024
demonstrate a) CAPs for next tier major supplier. b) CAPs for on-site service providers. c) Do not resource when a priority
finding is confirmed.
* Management interview: Ms. Pi-Ling LI / Senior Engineer of TQC Department and Ms. Grace LO / Technology Manager of
TQC Department confirm the audit observations.
* Supporting evidence reference(s): N/A"
,
GENERAL INFO,
GENERAL REVIEWEE FACILITY INFORMATION,
Question #,VAP-Info1.1
Question Text,Reviewee / Facility Name
Rating,Winbond Electronics Corporation Fab6
Conclusion,
Data points,
,
Question #,VAP-Info1.2
Question Text,Address
Rating,"No. 8, Keya 1st Rd., Daya Dist., Central Taiwan Science Park, Taichung City"
Conclusion,
Data points,
,
Question #,VAP-Info1.3
Question Text,Country
Rating,Chinese Taipei
Conclusion,
Data points,
,
Question #,VAP-Info1.3a
Question Text,GPS Coordinates of Facility Main entrance
Rating,"Latitude: 24.211700, Longitude: 120.618900"
Conclusion,
Data points,
,
Question #,VAP-Info1.4
Question Text,Facility Manager (Name & Title)
Rating,Wen-Pin Chang/ Technology Executive
Conclusion,
Data points,
,
Question #,VAP-Info1.5
Question Text,Main Contact(s) for Assessment (Name & Title)
Rating,Jonathan LIU/ Quality Assurance Deputy Director
Conclusion,
Data points,
,
Question #,VAP-Info1.6
Question Text,Email
Rating,SHLIU0@winbond.com
Conclusion,
Data points,
,
Question #,VAP-Info1.7
Question Text,Telephone
Rating,886-4-25218168 #76826
Conclusion,
Data points,
,
Question #,VAP-Info1.8
Question Text,Reviewee contact person who is authorized to approve and release the assessment report: Name
Rating,Jonathan LIU/ Quality Assurance Deputy Director
Conclusion,
Data points,
,
Question #,VAP-Info1.9
Question Text,Reviewee contact person who is authorized to approve and release the assessment report: Email
Rating,SHLIU0@winbond.com
Conclusion,
Data points,
,
Question #,VAP-Info1.10
Question Text,Reviewee contact person who is authorized to approve and release the assessment report: Phone
Rating,886-4-25218168 #76826
Conclusion,
Data points,
,
POPULATION SIZE,
Question #,VAP-Info2.1
Question Text,Population Size: Number of male workers
Rating,1
Conclusion,
Data points,
,
Question #,VAP-Info2.2
Question Text,Population Size: Number of female workers
Rating,318
Conclusion,
Data points,
,
Question #,VAP-Info2.3
Question Text,Population Size: Number of total workers
Rating,319
Conclusion,
Data points,
,
Question #,VAP-Info2.3a
Question Text,Population Size: Number of male production supervisors
Rating,1
Conclusion,
Data points,
,
Question #,VAP-Info2.3b
Question Text,Population Size: Number of female production supervisors
Rating,22
Conclusion,
Data points,
,
POPULATION CHARACTERISTICS,
Question #,VAP-Info3.1
Question Text,Population Characteristics: Number of total workers under 18 years of age
Rating,0
Conclusion,
Data points,
,
Question #,VAP-Info3.2
Question Text,Population Characteristics: Number of total student workers/apprentices/interns
Rating,0
Conclusion,
Data points,
,
Question #,VAP-Info3.3
Question Text,Population Characteristics: Number of total temporary workers
Rating,0
Conclusion,
Data points,
,
Question #,VAP-Info3.4
Question Text,Population Characteristics: Number of male migrant labor
Rating,0
Conclusion,
Data points,
,
Question #,VAP-Info3.5
Question Text,Population Characteristics: Number of female migrant labor
Rating,0
Conclusion,
Data points,
,
Question #,VAP-Info3.6
Question Text,Population Characteristics: Number of total migrant labor
Rating,0
Conclusion,
Data points,
,
Question #,VAP-Info3.7
Question Text,Population Characteristics: Number of total indirect labor
Rating,80 indirect workers from on-site service providers and they are not related to core business.
Conclusion,
Data points,
,
Question #,VAP-Info3.8
Question Text,Population Characteristics: Nationalities of migrant labor
Rating,N/A
Conclusion,
Data points,
,
Question #,VAP-Info3.9
Question Text,Population Characteristics: Language(s) spoken by workers
Rating,Chinese
Conclusion,
Data points,
,
Question #,VAP-Info3.10
Question Text,Population Characteristics: Language(s) spoken by management
Rating,"Chinese, English"
Conclusion,
Data points,
,
SITE ACTIVITIES AND PROCESSES,
Question #,VAP-Info4.1
Question Text,Site Activities and Processes: Total facility surface area (square meters)
Rating,"127,300"
Conclusion,
Data points,
,
Question #,VAP-Info4.2
Question Text,Site Activities and Processes: Total roofed facility surface area (square meters)
Rating,"43,680"
Conclusion,
Data points,
,
Question #,VAP-Info4.3
Question Text,Site Activities and Processes: Number of production buildings (describe)
Rating,One 5-storey building as workshop and office.
Conclusion,
Data points,
,
Question #,VAP-Info4.4
Question Text,Site Activities and Processes: Component manufacturing(describe)
Rating,Wafer Manufacturing
Conclusion,
Data points,
,
Question #,VAP-Info4.5
Question Text,Site Activities and Processes: Final Assembly (describe)
Rating,N/A
Conclusion,
Data points,
,
Question #,VAP-Info4.6
Question Text,Site Activities and Processes: Metal Stamping / plating (describe)
Rating,N/A
Conclusion,
Data points,
,
Question #,VAP-Info4.7
Question Text,Site Activities and Processes: PC Board manufacturing (describe)
Rating,N/A
Conclusion,
Data points,
,
Question #,VAP-Info4.8
Question Text,Site Activities and Processes: Painting/coating (describe)
Rating,N/A
Conclusion,
Data points,
,
Question #,VAP-Info4.9
Question Text,Site Activities and Processes; Distribution/Logistics (describe)
Rating,N/A
Conclusion,
Data points,
,
Question #,VAP-Info4.10
Question Text,Site Activities and Processes: Clean room (describe)
Rating,ISO classs 100 and 1000.
Conclusion,
Data points,
,
Question #,VAP-Info4.11
Question Text,Site Activities and Processes: Logistics & Distribution (describe)
Rating,N/A
Conclusion,
Data points,
,
Question #,VAP-Info4.12
Question Text,Site Activities and Processes: Business Services - Office Equipment (describe)
Rating,N/A
Conclusion,
Data points,
,
Question #,VAP-Info4.13
Question Text,Site Activities and Processes: Business Services - Branded Products (describe)
Rating,N/A
Conclusion,
Data points,
,
Question #,VAP-Info4.14
Question Text,Site Activities and Processes: Business Services - Finance Related (describe)
Rating,N/A
Conclusion,
Data points,
,
Question #,VAP-Info4.15
Question Text,Site Activities and Processes: Business Services - HR Related (describe)
Rating,N/A
Conclusion,
Data points,
,
Question #,VAP-Info4.16
Question Text,Site Activities and Processes: Legal Related (describe)
Rating,N/A
Conclusion,
Data points,
,
Question #,VAP-Info4.17
Question Text,Site Activities and Processes: Fleet Related (describe)
Rating,N/A
Conclusion,
Data points,
,
Question #,VAP-Info4.18
Question Text,Site Activities and Processes: Real Estate Construction (describe)
Rating,N/A
Conclusion,
Data points,
,
Question #,VAP-Info4.19
Question Text,Site Activities and Processes: Real Estate Maintenance (describe)
Rating,N/A
Conclusion,
Data points,
,
Question #,VAP-Info4.20
Question Text,Site Activities and Processes: Business Services - Real Estate Security (describe)
Rating,N/A
Conclusion,
Data points,
,
Question #,VAP-Info4.21
Question Text,Site Activities and Processes: Business Services - Facility Management (describe)
Rating,N/A
Conclusion,
Data points,
,
Question #,VAP-Info4.22
Question Text,Site Activities and Processes: Business Services - Rent/Lease (describe)
Rating,N/A
Conclusion,
Data points,
,
Question #,VAP-Info4.23
Question Text,Site Activities and Processes: Hardware - Product Related (describe)
Rating,N/A
Conclusion,
Data points,
,
Question #,VAP-Info4.24
Question Text,Site Activities and Processes: Hardware - Maintenance Related (describe)
Rating,N/A
Conclusion,
Data points,
,
Question #,VAP-Info4.25
Question Text,Site Activities and Processes: Hardware - Reseller/Distributor (describe)
Rating,N/A
Conclusion,
Data points,
,
Question #,VAP-Info4.26
Question Text,Site Activities and Processes: Sales/Marketing Services (describe)
Rating,N/A
Conclusion,
Data points,
,
Question #,VAP-Info4.27
Question Text,Site Activities and Processes: Printing Services (describe)
Rating,N/A
Conclusion,
Data points,
,
Question #,VAP-Info4.28
Question Text,Site Activities and Processes: Printing Materials & Supplies (describe)
Rating,N/A
Conclusion,
Data points,
,
Question #,VAP-Info4.29
Question Text,Site Activities and Processes: Professional Services - Consultant (describe)
Rating,N/A
Conclusion,
Data points,
,
Question #,VAP-Info4.30
Question Text,Site Activities and Processes: Professional Services - Contact Center (describe)
Rating,N/A
Conclusion,
Data points,
,
Question #,VAP-Info4.31
Question Text,Site Activities and Processes: Professional Services - Sales & Support (describe)
Rating,N/A
Conclusion,
Data points,
,
Question #,VAP-Info4.32
Question Text,Site Activities and Processes: Technology Outsourced Services (describe)
Rating,N/A
Conclusion,
Data points,
,
Question #,VAP-Info4.33
Question Text,Site Activities and Processes: Contract Outside Labor (describe)
Rating,N/A
Conclusion,
Data points,
,
Question #,VAP-Info4.34
Question Text,Site Activities and Processes: Software - Product/License (describe)
Rating,N/A
Conclusion,
Data points,
,
Question #,VAP-Info4.35
Question Text,Site Activities and Processes: Software - Maintenance & Support (describe)
Rating,N/A
Conclusion,
Data points,
,
Question #,VAP-Info4.36
Question Text,Site Activities and Processes: Software - Application Service Provider (describe)
Rating,N/A
Conclusion,
Data points,
,
Question #,VAP-Info4.37
Question Text,Site Activities and Processes: Telecom - Maintenance and Managed Services (describe)
Rating,N/A
Conclusion,
Data points,
,
Question #,VAP-Info4.38
Question Text,Site Activities and Processes: Telecom - Mobility (describe)
Rating,N/A
Conclusion,
Data points,
,
Question #,VAP-Info4.39
Question Text,Site Activities and Processes: Telecom - Voice and Data Transport (describe)
Rating,N/A
Conclusion,
Data points,
,
Question #,VAP-Info4.40
Question Text,Site Activities and Processes: Travel Related Services (describe)
Rating,N/A
Conclusion,
Data points,
,
Question #,VAP-Info4.41
Question Text,Site Activities and Processes: Services / Other (describe)
Rating,N/A
Conclusion,
Data points,
,
PRIMARY TYPES OF OPERATION,
Question #,VAP-Info5.1
Question Text,Primary types of Operation: Chemical (describe)
Rating,"CMP Slurry(Silicon dioxide), Hydrogen peroxide, Sulfuric acid, Liquid Ammonia(NH4OH), Isopropyl Alcohol(IPA)"
Conclusion,
Data points,
,
Question #,VAP-Info5.2
Question Text,Primary types of Operation: Mechanical (describe)
Rating,"Etching, Photolithography, Ion implanter, Furnace, Physical vapor deposition, Chemical vapor deposition, Chemical-Mechanical
Planarization."
Conclusion,
Data points,
,
Question #,VAP-Info5.3
Question Text,Primary types of Operation: Finishing (describe)
Rating,Wafer
Conclusion,
Data points,
,
Question #,VAP-Info5.4
